,Unnamed: 0,Unnamed: 0.1,id,public_metrics.following_count,public_metrics.followers_count,public_metrics.tweet_count,username,name,party,gender,politician_attention,total_number,total_unity,total_commitment,diversity,woman_number,woman_unity,woman_commitment,man_number,man_unity,man_commitment,media_number,media_unity,media_commitment
75,75,75,975179529026117632,430,1367,1280,mitsumatsumoto2,下条みつ,立憲民主党,1,0.0,185.0,0.0466919191919191,0.4110774283188076,0.4344192841490139,126.0,0.0267502612330198,0.397041847041847,59.0,0.005,0.3506944444444445,0.0,0.0,0.0
76,76,76,769173776,6134,3095,2663,n_koyama1,小山展弘,立憲民主党,1,0.0,780.0,0.2959204392099129,0.3759719462324802,0.2161470522786044,89.0,0.027014652014652,0.3191358024691358,633.0,0.2112105332461369,0.3796761548842746,58.0,0.0072463768115942,0.5121212121212121
77,77,77,47917053,1018,7410,15683,gemmakentaro,源馬謙太郎,立憲民主党,1,1.0,338.0,0.0815972222222222,0.3167159468883607,0.4844290657439446,180.0,0.0470833333333333,0.3352266507438921,126.0,0.0291919191919191,0.2007662835249042,32.0,0.0,0.5526315789473685
78,78,78,2918207822,393,4325,3773,kondo_shoichi,近藤昭一,立憲民主党,1,1.0,443.0,0.1725192017433396,0.4868572012841788,0.3349019826241926,211.0,0.1029233008993071,0.4168234064785788,57.0,0.0,0.4355555555555555,175.0,0.0541666666666666,0.5773368606701941
80,80,80,112303038,3372,5351,2944,shigetoku2,重徳和彦,立憲民主党,1,0.0,327.0,0.0694444444444444,0.3859028845844262,0.2918198056654415,269.0,0.0616666666666666,0.3408344529034184,58.0,0.0,0.5104166666666666,0.0,0.0,0.0
81,81,81,1453207518,1205,34615,7976,izmkenta,泉健太,立憲民主党,1,11.0,881.0,0.2252406976469704,0.4204553401939387,0.178694323015123,663.0,0.1442957013746487,0.4003320596937759,73.0,0.0192307692307692,0.2457142857142856,145.0,0.012,0.7506728778467909
82,82,82,116426900,1470,32690,39225,yamanoikazunori,山井和則,立憲民主党,1,31.0,1196.0,0.4865531491216892,0.5065139653849393,0.4325118147448015,291.0,0.0953459503459503,0.419789693065555,629.0,0.3921231913698102,0.4938964043559965,276.0,0.0573953823953823,0.6907557959282096
83,83,83,345178332,1584,5480,5325,MORIYAMAhiro,森山浩行,立憲民主党,1,2.0,589.0,0.1871715516452358,0.4196984047134899,0.1890974014632538,406.0,0.1420676314426314,0.3714970198182539,48.0,0.00625,0.1754385964912281,135.0,0.0128205128205128,0.7135416666666666
84,84,84,141513987,2790,5569,1236,isakanobuhiko,井坂信彦,立憲民主党,1,0.0,319.0,0.1063453159041394,0.2860931101803312,0.3718154141964429,238.0,0.0411111111111111,0.2730447713206333,78.0,0.0255555555555555,0.3513888888888889,3.0,0.0,0.0
86,86,86,107846407,538,47544,3836,mabuchi_sumio,馬淵澄夫,立憲民主党,1,0.0,456.0,0.1851605890916235,0.4973915818236306,0.1484510628447977,296.0,0.1329004949184859,0.4541132239408102,26.0,0.0089285714285714,0.45,134.0,0.0115384615384615,0.7097222222222221
